"","max_depth","num_leaves","num_iterations","early_stopping_rounds","learning_rate","mean.rmse","mean.rank","list.rank","rmse.rank","ranks.rank","mean.final.rank"
"2125",5,23,400,40,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2126",5,24,200,20,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2127",5,24,200,25,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2128",5,24,200,30,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2129",5,24,200,35,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2130",5,24,200,40,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2131",5,24,250,20,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2132",5,24,250,25,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2133",5,24,250,30,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2134",5,24,250,35,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2135",5,24,250,40,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2136",5,24,300,20,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2137",5,24,300,25,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2138",5,24,300,30,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2139",5,24,300,35,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2140",5,24,300,40,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2141",5,24,350,20,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
